uid,通道,格数,row,col,压力,距路m
239,P2 旧居住通道,22,46.95454545454545,95.27272727272727,2.0477084266101317,30.653364181518555
240,P2 旧居住通道,10,44.8,103.7,2.116707103180452,29.7102108001709
241,P2 旧居住通道,3,45.666666666666664,50.666666666666664,0.8993536147110799,46.37782669067383
242,P2 旧居住通道,1,46.0,108.0,2.39240731544213,32.464149475097656
243,P2 旧居住通道,12,50.333333333333336,47.5,1.771752947619337,21.83441162109375
244,P2 旧居住通道,4,51.0,71.25,0.8024403012206216,51.027992248535156
245,P2 旧居住通道,5,52.2,15.2,1.5730268525511721,47.08324432373047
246,P2 旧居住通道,24,53.541666666666664,78.08333333333333,2.266011466090468,24.25398063659668
247,P2 旧居住通道,3,52.666666666666664,52.333333333333336,1.7695798724775982,17.433082580566406
248,P2 旧居住通道,22,57.13636363636363,53.86363636363637,2.035110297282276,35.63978958129883
249,P2 旧居住通道,24,56.75,83.91666666666667,1.7532402326538865,51.24074935913086
250,P2 旧居住通道,23,57.47826086956522,21.08695652173913,2.0540015095292254,24.238523483276367
251,P2 旧居住通道,14,58.285714285714285,15.142857142857142,2.451082872283524,24.35440444946289
252,P2 旧居住通道,7,58.142857142857146,34.857142857142854,2.3361498695465888,29.052289962768555
253,P2 旧居住通道,8,58.625,39.875,2.1067694757536537,25.688325881958008
254,P2 旧居住通道,11,58.45454545454545,77.63636363636364,1.8203404543348292,123.9665298461914
255,P2 旧居住通道,11,57.90909090909091,73.36363636363636,1.8244770769659617,83.27378845214844
256,P2 旧居住通道,10,60.2,75.5,1.601102962209652,119.51338195800781
257,P2 旧居住通道,3,58.0,67.0,0.7894087024186728,71.07868194580078
258,P2 旧居住通道,6,61.666666666666664,33.833333333333336,2.4994715315261824,32.85942840576172
259,P2 旧居住通道,14,61.142857142857146,68.35714285714286,1.6446595001163042,53.4864387512207
260,P2 旧居住通道,6,61.833333333333336,46.166666666666664,1.425125053151227,19.688295364379883
261,P2 旧居住通道,26,65.42307692307692,56.23076923076923,1.6815733673570452,47.59130096435547
262,P2 旧居住通道,3,62.666666666666664,91.33333333333333,1.3166344463839819,31.832000732421875
263,P2 旧居住通道,2,63.0,1.5,2.1833833499242967,63.21685028076172
264,P2 旧居住通道,2,63.5,20.0,1.6784080273063606,41.59844970703125
265,P2 旧居住通道,7,63.857142857142854,95.57142857142857,1.768631881711966,28.00306510925293
266,P2 旧居住通道,1,64.0,31.0,2.446812933897907,66.94368743896484
267,P2 旧居住通道,5,65.2,41.2,2.2843752550307865,32.69525909423828
268,P2 旧居住通道,18,68.11111111111111,50.111111111111114,1.954236179365647,33.42815399169922
269,P2 旧居住通道,18,67.33333333333333,68.16666666666667,1.8798648594829102,31.23138427734375
270,P2 旧居住通道,2,65.0,1.5,1.7890088098598689,74.55196380615234
271,P2 旧居住通道,15,67.13333333333334,21.666666666666668,2.2182398035867354,33.685890197753906
272,P2 旧居住通道,12,67.33333333333333,88.25,1.5290542716731708,33.72854995727539
273,P2 旧居住通道,9,67.66666666666667,3.3333333333333335,0.8818900399042308,57.68146514892578
274,P2 旧居住通道,4,68.0,46.5,1.810316477578811,25.912874221801758
275,P2 旧居住通道,9,79.22222222222223,98.44444444444444,1.6085093087549223,28.762868881225586
276,P2 旧居住通道,21,87.47619047619048,88.0,1.9562481501451112,32.67899703979492
277,P2 旧居住通道,16,87.5625,95.4375,1.4797979459729798,83.03422546386719
278,P2 旧居住通道,11,83.72727272727273,98.0,2.104458962064624,47.77544021606445
279,P2 旧居住通道,10,83.4,90.9,2.328105749037292,25.298301696777344
