alpha,seed,trained_g,eval_g,n_initiated,first_year,last_year,mean_year,idle_years,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
0.3,0,0.0,0.0,16.0,0.0,14.0,6.875,0.0,1046.2070481946466,747.8975793317684,0.0,206.15334901624374,2483.6756320672725,-197.31447892580522,-988.6735439415785,1405965.8402907825,-1855.3801411461936,-2707.794998386695,-2.110274932360357
0.3,1,0.0,0.0,15.0,0.0,14.0,7.0,0.0,1256.7889707675768,916.8470363814153,0.0,247.63539240337823,2922.575554844135,-234.95353331862498,-937.645934914112,1688873.3761910398,-2228.718531630404,-1967.8382189820884,-1.2176245573686146
0.3,2,0.0,0.0,34.0,0.0,14.0,6.0588235294117645,0.0,-284.33208643968686,2256.1329289365885,0.0,-310.0830576761887,2158.863760454759,297.02625215673726,-2194.139984068777,2254675.80448853,-2541.2658452408746,-6898.121761996484,-4.225373738925705
0.3,3,0.0,0.0,20.0,0.0,14.0,8.3,0.0,-159.06887180394756,2113.2132824994815,0.0,-287.0685168523722,2126.792704114177,287.0685168523722,-2635.165527866309,2003738.2476295582,-2296.548134818978,-16.2324170333856,-1.6438076586917567
0.3,4,0.0,0.0,38.0,0.0,14.0,6.7105263157894735,0.0,48.20437682552897,2164.8650182094775,-163.76787662482383,-185.45711301104103,2930.6950254827048,209.82023898950462,-2138.343430439877,2256243.5486845216,-2564.857036502587,-3809.7498014424464,-5.327048238147457
0.5,0,0.0,0.0,23.0,0.0,14.0,7.217391304347826,0.0,2672.5633611946723,0.0,-1823.0978232046557,1351.2985893497867,3909.472498279995,632.4082636110908,-272.52379080957064,2013434.898131182,-2308.6609688754775,-21641.957695951045,-2.4691292181379145
0.5,1,0.0,0.0,23.0,0.0,14.0,7.130434782608695,0.0,2475.5233274741377,0.0,-1452.0552279849835,1255.7221885139934,3465.4361002885184,418.45271625903797,-415.5743320764715,1871026.0608858499,-2185.720359796223,-18276.80755808061,-2.531478178588624
0.5,2,0.0,0.0,23.0,0.0,14.0,8.0,0.0,2288.0881671337547,0.0,-1288.0857909821837,1154.5831796438347,1694.2326024620227,229.0476682169602,-420.0633771407879,1720328.9376693133,-2017.513182147716,-20817.871690203872,-2.1548693179877967
0.5,3,0.0,0.0,22.0,0.0,14.0,7.318181818181818,0.0,2654.9840484280444,0.0,-1669.4449819359718,1345.9859626840346,3689.524498252128,581.8039300425152,-390.11039002845956,2005519.0843992115,-2323.998697533138,-23498.053122597015,-1.7395274459303374
0.5,4,0.0,0.0,25.0,0.0,14.0,7.72,0.0,2556.382430875275,0.0,-1776.2810252095653,1292.777591855923,3626.3243864684555,731.5038193673636,-267.7375534945462,1976080.0214150988,-2233.0970142167344,-24287.436934887897,-2.6057484635382826
0.7,0,0.0,0.0,39.0,0.0,12.0,6.0,2.0,1177.9807613302964,0.0,-659.0352285451002,593.2387550346162,970.3327394352009,-480.85559774626597,-356.9783475534996,883925.7450015784,-1037.0890549760747,-17138.478022182473,-5.078073356856246
0.7,1,0.0,0.0,26.0,0.0,14.0,7.5,0.0,2751.1095436990827,0.0,-1786.5895229916605,1385.9649229325319,463.9947806679978,944.2255673914444,-640.1565558822724,2065087.7351694726,-2381.767263837618,-30546.090766781235,-2.5309940202095875
0.7,2,0.0,0.0,24.0,0.0,14.0,8.208333333333334,0.0,2383.3864867261873,0.0,-1121.9056071071227,1205.4061997243994,2184.6775559755915,-83.96500711035522,-493.9523921081785,1796055.237589355,-2143.4677182826517,-24006.19149107468,-2.115446353205633
0.7,3,0.0,0.0,20.0,0.0,14.0,7.35,0.0,2129.094872501168,0.0,-1067.1434772982607,1076.766854219135,1659.8091853089304,286.5425434588833,-422.71141028472056,1604382.6127865114,-1903.892005273951,-19993.182279384862,-2.4003066497949477
0.7,4,0.0,0.0,20.0,0.0,14.0,6.15,0.0,2702.797157972303,-24.954941535706855,-1983.0552163545497,1369.8302385561767,3593.18105844327,956.2634637421285,-303.3869846078933,2048391.4406341831,-2324.2665682071747,-23539.35724493854,-2.4859561310295764
0.85,0,0.0,0.0,26.0,0.0,14.0,7.5,0.0,2791.552170491164,0.0,-1626.694204716671,1415.8038644840494,3606.568536193941,300.4938382745724,-503.7411699030249,2118141.1045553326,-2471.2385247158454,-25335.79271451392,-2.1474219782268347
0.85,1,0.0,0.0,31.0,0.0,14.0,8.161290322580646,0.0,2427.4806164823594,-62.930384851705774,-1361.4579782735377,1239.4814592787052,3506.220052283285,36.86973625031262,-414.8316065937024,1866412.4014865502,-2186.58731749144,-15603.168706131331,-3.1328391483802824
0.85,2,0.0,0.0,24.0,0.0,14.0,8.0,0.0,1375.8014094097489,0.0,-797.9077192817758,694.5320352663177,1594.137802587418,344.1051989813835,-163.88729339145806,2262081.0209690505,-1942.8885983742725,-18890.16358083209,-2.3467256602615016
0.85,3,0.0,0.0,20.0,0.0,14.0,7.5,0.0,2456.9624584246358,0.0,-2278.922191601276,1246.7292566027556,3111.1741349461217,1432.6958221552802,-311.0436859170627,1857626.5923381061,-2030.522864165115,-22154.127689701145,-1.6633408395940807
0.85,4,0.0,0.0,23.0,0.0,14.0,8.130434782608695,0.0,2571.070564037726,0.0,-1355.7707382067158,1299.4811252515226,2353.650453163845,39.39501140051109,-471.20116994704966,1936226.876624769,-2286.3683857851584,-25082.678550477976,-2.0193570039282522
1.0,0,0.0,0.0,22.0,0.0,14.0,7.818181818181818,0.0,2274.9819741963265,0.0,-1168.2983590772756,1150.184946820672,2066.722897643673,-73.88455899596256,-430.6807153928736,1713775.5707628012,-2028.974504007087,-24466.852896705732,-2.408928529365663
1.0,1,0.0,0.0,23.0,0.0,14.0,6.391304347826087,0.0,2976.378673856313,0.0,-2094.003915259451,1499.450003915707,873.6920165180172,904.0013593847773,-571.7507806406107,2234180.5058344034,-2549.9360216937916,-41538.82673728588,-2.2207673781285564
1.0,2,0.0,0.0,45.0,0.0,14.0,7.0,0.0,1128.9230723372682,0.0,-821.750781191641,572.8864280442732,1741.0221068783546,-316.662922542869,-299.99886414597694,853600.7777859671,-970.6219640203213,-17476.416407602326,-4.801648281502975
1.0,3,0.0,0.0,26.0,0.0,14.0,7.269230769230769,0.0,2544.22483251684,0.0,-1928.4870951019614,1287.4699759948683,3080.582649695848,1036.1412779327147,-334.08894382927485,1918330.2642323538,-2167.6941044064183,-22579.710325711727,-2.819484106820014
1.0,4,0.0,0.0,30.0,0.0,14.0,8.5,0.0,2224.5004920216575,0.0,-1341.97352457717,1120.8011152094398,593.3357492280946,453.24638421672654,-528.8989400710527,1669993.6616620657,-1943.2199019753887,-29463.682066895788,-2.5201914115054236
0.0,0,0.0,0.05,28.0,0.0,14.0,7.642857142857143,0.0,-132.9445841608287,2266.0410374811563,-12.33101720046137,-290.32982514322725,2316.350819470588,297.97505580752767,-2666.6617595195776,4013030.973657957,-2546.611827176848,-1829.996693906709,-3.053716549541412
0.0,1,0.0,0.05,15.0,0.0,14.0,7.0,0.0,-221.08617758004203,1770.6858666002488,0.0,-242.18184096466092,1339.4788491322158,139.7569747394245,-934.8312562860008,2866334.309622276,-1937.4547277172874,-5019.15632910164,-2.0108190558689403
0.0,2,0.0,0.05,20.0,0.0,14.0,5.55,0.0,-167.35695681189986,2356.879109766499,0.0,-319.8855985854307,2361.0447644375968,319.88559858543067,-2299.778378070039,3918732.4427290126,-2559.084788683446,0.0,-2.52546618983203
0.0,3,0.0,0.05,18.0,0.0,14.0,7.222222222222222,0.0,1090.3179571094975,779.0018581880182,0.0,215.27374376509778,2592.8933734315606,-206.1618233622249,-937.6818590935585,2520306.382974853,-1937.4636938858798,-2229.8949476930893,-2.124507002808666
0.0,4,0.0,0.05,33.0,0.0,14.0,6.121212121212121,0.0,-156.85186574517604,2107.280111696852,0.0,-283.54252635154256,2080.0485686976035,276.69119272805966,-2026.6217331347284,3703497.6612242544,-2362.0885511917745,-1723.7247889853581,-4.83334784783594
0.15,0,0.0,0.05,15.0,0.0,14.0,7.0,0.0,-159.06887180394756,2113.213282499481,0.0,-287.0685168523722,2126.7927041141775,287.0685168523722,-2635.165527866309,3512313.9686243497,-2296.548134818978,0.0,-1.5411392420358554
