组,alpha,seed,落盘,复算_g0,复算_g0.1,判定
relax5,0.85,2,3677967.064885599,1242834.1409803124,3677967.064885599,growth=0.1
relax5,1.0,3,4242502.5659887465,1471501.4928820278,4242502.5659887465,growth=0.1
relax5,0.15,0,6357758.093769537,2105858.5300437543,6357758.093769537,growth=0.1
relax5,0.3,4,4997848.80819079,1682370.634669174,4997848.808190789,growth=0.1
relax5,0.5,0,6596459.326536904,2173634.993671751,6596459.326536904,growth=0.1
relax5,0.3,2,5177214.827394286,1769753.8460182608,5177214.827394284,growth=0.1
relax5,0.7,2,6294496.855588706,2075618.7694329568,6294496.855588706,growth=0.1
relax5,1.0,4,5346882.769837389,1809537.8355633765,5346882.769837389,growth=0.1
relax5,0.3,1,5092959.234370929,1690701.004140913,5092959.234370929,growth=0.1
relax5,0.0,3,5504108.071124337,1830188.0564339783,5504108.071124337,growth=0.1
relax5,0.85,0,5038901.421942353,1696446.908406842,5038901.421942352,growth=0.1
relax5,0.15,4,7107269.855483977,2284886.2054843684,7107269.855483977,growth=0.1
relax5,0.85,3,3841184.111600374,1215394.7732734284,3841184.1116003743,growth=0.1
relax5,0.7,0,6459256.074199616,2173964.772302529,6459256.074199616,growth=0.1
relax5,0.0,1,6001581.474319048,2011807.6679938796,6001581.474319047,growth=0.1
relax5,0.5,2,6980344.194658388,2292915.970682708,6980344.194658388,growth=0.1
relax5,1.0,1,4711037.033781636,1523959.5803149955,4711037.033781637,growth=0.1
relax5,0.85,4,5276651.987712803,1732651.5860727627,5276651.987712803,growth=0.1
relax5,1.0,0,8415650.765483435,2784013.697113271,8415650.765483435,growth=0.1
statutory,0.85,3,5971218.9813152645,2020944.5460723445,5971218.9813152645,growth=0.1
statutory,1.0,0,5162492.25698564,1700757.9526018002,5162492.25698564,growth=0.1
statutory,0.0,3,4583748.22094279,1601492.8786784965,4583748.22094279,growth=0.1
statutory,0.3,4,3585615.090831333,1272715.700223057,3585615.090831333,growth=0.1
statutory,0.85,2,4608999.932820186,1587520.6805285874,4608999.932820186,growth=0.1
statutory,0.85,4,5257566.263122103,1797430.8735830516,5257566.263122103,growth=0.1
statutory,0.5,2,4403743.496706143,1394083.356980157,4403743.496706143,growth=0.1
statutory,0.85,0,4011404.740894093,1382417.3382691748,4011404.740894093,growth=0.1
statutory,0.7,1,5207366.261058148,1705028.2661282725,5207366.261058148,growth=0.1
statutory,0.15,2,4578156.34214844,1599231.5437964047,4578156.34214844,growth=0.1
statutory,0.3,2,3868185.489642523,1355067.5090914706,3868185.489642523,growth=0.1
statutory,1.0,1,4178991.0032140138,1462496.7074661427,4178991.0032140138,growth=0.1
statutory,0.15,1,4937254.061964889,1707711.6307330548,4937254.061964889,growth=0.1
statutory,0.3,3,4987978.291296972,1675251.6708064484,4987978.291296972,growth=0.1
statutory,0.7,0,5760809.953663139,2015384.062516646,5760809.953663139,growth=0.1
statutory,0.0,0,4578156.34214844,1599231.5437964047,4578156.34214844,growth=0.1
statutory,0.15,4,4402763.01608425,1517748.0385208228,4402763.01608425,growth=0.1
statutory,0.7,3,5130099.9192805765,1608351.6697379164,5130099.9192805765,growth=0.1
statutory,0.0,2,3611281.039218472,1281383.3950929292,3611281.039218472,growth=0.1
statutory,0.5,3,4007556.2899173065,1398330.4456068606,4007556.2899173065,growth=0.1
statutory,0.3,0,4641567.786458915,1532669.7815864987,4641567.786458915,growth=0.1
statutory,0.7,2,2671390.771227406,846274.9625361221,2671390.7712274063,growth=0.1
statutory,0.3,1,4721023.657964925,1612199.6621336963,4721023.657964925,growth=0.1
statutory,0.0,1,5254150.346684838,1823664.9537201666,5254150.346684838,growth=0.1
statutory,0.15,3,4987978.291296972,1675251.6708064484,4987978.291296972,growth=0.1
statutory,0.0,4,3596047.056949976,1276238.6987830696,3596047.056949977,growth=0.1
statutory,1.0,3,4224674.124448797,1501610.9279512234,4224674.124448797,growth=0.1
statutory,0.5,4,3795424.680217012,1317113.35320024,3795424.680217012,growth=0.1
statutory,1.0,4,4572190.310194846,1597002.1672862563,4572190.310194846,growth=0.1
statutory,0.7,4,5380807.816067513,1925213.091037841,5380807.816067513,growth=0.1
statutory,0.5,0,4578799.777357865,1486423.8104674187,4578799.777357865,growth=0.1
statutory,0.5,1,4640012.059082232,1502791.2763386602,4640012.059082232,growth=0.1
statutory,0.15,0,4845413.599157167,1625667.1323879133,4845413.599157166,growth=0.1
statutory,1.0,2,4355980.531054385,1537657.9999719467,4355980.531054385,growth=0.1
statutory,0.85,1,4631693.466884216,1554937.968367203,4631693.466884216,growth=0.1
